Regione;Regione_RD;Regione_RU;Regione_%
Piemonte;1413173,76;2107724,55;66,5%
Valle d'Aosta;50031,03;75746,16;67,5%
Lombardia;3381060,58;4619139,91;71,7%
Trentino-Alto Adige;390775,50;522979,65;76,1%
Veneto;1760605,98;2309795,82;80,2%
Friuli-Venezia Giulia;398068,73;589472,78;70,5%
Liguria;467584,51;813781,72;65,6%
Emilia-Romagna;2075202,44;2803811,92;69,2%
Toscana;1413043,72;2153004,70;62,6%
Umbria;300342,68;441951,31;63,8%
Marche;550081,10;764224,12;71,1%
Lazio;1559630,65;2861126,53;62,3%
Abruzzo;372669,55;577296,02;69,5%
Molise;63395,11;108243,40;58,3%
Campania;1453728,93;2613566,63;66,0%
Puglia;1071416,61;1829588,47;60,9%
Basilicata;122263,42;191072,63;55,4%
Calabria;403859,01;736942,38;56,2%
Sicilia;1132419,15;2200814,52;65,5%
Sardegna;552576,47;728424,69;78,3%
;;;
